ID,tournament,year,winner,winner_seed,winner_nationality,runner_up,runner_up_seed,runner_up_nationality,score
70,U,1986,Ivan Lendl,1,TCH,Miloslav Mecir,16,TCH,"6-4, 6-2, 6-0"
71,U,1987,Ivan Lendl,1,TCH,Mats Wilander,3,SWE,"6-7(7-9), 6-0, 7-6(7-4), 6-4"
72,U,1988,Mats Wilander,2,SWE,Ivan Lendl,1,TCH,"6-4, 4-6, 6-3, 5-7, 6-4"
73,U,1989,Boris Becker,2,FRG,Ivan Lendl,1,TCH,"7-6(7-2), 1-6, 6-3, 7-6(7-4)"
74,U,1990,Pete Sampras,12,USA,Andre Agassi,4,USA,"6-4, 6-3, 6-2"
75,U,1991,Stefan Edberg,2,SWE,Jim Courier,4,USA,"6-2, 6-4, 6-0"
76,U,1992,Stefan Edberg,2,SWE,Pete Sampras,3,USA,"3-6, 6-4, 7-6(7-5), 6-2"
77,U,1993,Pete Sampras,2,USA,CÈdric Pioline,15,FRA,"6-4, 6-4, 6-3"
78,U,1994,Andre Agassi,99,USA,Michael Stich,4,GER,"6-1, 7-6(7-5), 7-5"
79,U,1995,Pete Sampras,2,USA,Andre Agassi,1,USA,"6-4, 6-3, 4-6, 7-5"
80,U,1996,Pete Sampras,1,USA,Michael Chang,2,USA,"6-1, 6-4, 7-6(7-3)"
81,U,1997,Patrick Rafter,13,AUS,Greg Rusedski,99,GBR,"6-3, 6-2, 4-6, 7-5"
82,U,1998,Patrick Rafter,3,AUS,Mark Philippoussis,99,AUS,"6-3, 3-6, 6-2, 6-0"
83,U,1999,Andre Agassi,2,USA,Todd Martin,7,USA,"6-4, 6-7(5-7), 6-7(2-7), 6-3, 6-2"
84,U,2000,Marat Safin,6,RUS,Pete Sampras,4,USA,"6-4, 6-3, 6-3"
85,U,2001,Lleyton Hewitt,4,AUS,Pete Sampras,10,USA,"7-6(7-4), 6-1, 6-1"
86,U,2002,Pete Sampras,99,USA,Andre Agassi,6,USA,"6-3, 6-4, 5-7, 6-4"
87,U,2003,Andy Roddick,4,USA,Juan Carlos Ferrero,3,ESP,"6-3, 7-6(7-2), 6-3"
88,U,2004,Roger Federer,1,SUI,Lleyton Hewitt,4,AUS,"6-0, 7-6(7-3), 6-0"
89,U,2005,Roger Federer,1,SUI,Andre Agassi,7,USA,"6-3, 2-6, 7-6(7-1), 6-1"
90,U,2006,Roger Federer,1,SUI,Andy Roddick,9,USA,"6-2, 4-6, 7-5, 6-1"
91,U,2007,Roger Federer,1,SUI,Novak Djokovic,3,SRB,"7-6(7-4), 7-6(7-2), 6-4"
92,U,2008,Roger Federer,2,SUI,Andy Murray,6,GBR,"6-2, 7-5, 6-2"
93,U,2009,Juan Martin Potro,6,ARG,Roger Federer,1,SUI,"3-6, 7-6(7-5), 4-6, 7-6(7-4), 6-2"
94,U,2010,Rafael Nadal,1,ESP,Novak Djokovic,3,SRB,"6-4, 5-7, 6-4, 6-2"
95,U,2011,Novak Djokovic,1,SRB,Rafael Nadal,2,ESP,"6-2, 6-4, 6-7(3-7), 6-1"
96,U,2012,Andy Murray,3,GBR,Novak Djokovic,2,SRB,"7-6(12-10), 7-5, 2-6, 3-6, 6-2"
